study_id,short_name,full_name,authors,year,title,url,sample_size,categories,,,
Belt-2021,Belt et al (2021),"""Video use in online and blended courses: a qualitative synthesis"" by Belt & Lowenthal (2021)",Belt & Lowenthal,2021,Video use in online and blended courses: a qualitative synthesis,"https://nusearch.nottingham.ac.uk/discovery/fulldisplay?docid=cdi_proquest_journals_2500885685&context=PC&vid=44NOTTS_UNUK:44NOTUK&lang=en&search_scope=MyInst_and_CI&adaptor=Primo%20Central&tab=Everything&query=any,contains,Noetel%20et%20al.%20(2021)%20%E2%80%93%20%E2%80%9CVideo%20Improves%20Learning%20in%20Higher%20Education:%20A%20Systematic%20Review.%E2%80%9D&offset=0",1,hybrid,,,
Noetel-2021,Noetel et al (2021),"""Video Improves Learning in Higher Education: A Systematic Review"" by Noetel et al. (2021)",Noetel et al.,2021,Video Improves Learning in Higher Education: A Systematic Review,"https://nusearch.nottingham.ac.uk/discovery/fulldisplay?docid=cdi_proquest_journals_2500885685&context=PC&vid=44NOTTS_UNUK:44NOTUK&lang=en&search_scope=MyInst_and_CI&adaptor=Primo%20Central&tab=Everything&query=any,contains,Noetel%20et%20al.%20(2021)%20%E2%80%93%20%E2%80%9CVideo%20Improves%20Learning%20in%20Higher%20Education:%20A%20Systematic%20Review.%E2%80%9D&offset=1",5,flipped;distance,,,
Chust-Prez-2024,Chust-Pérez et al (2024),"""Enhancing visual and plastic education training: a blended learning and flipped classroom approach"" by Chust-Pérez et al. (2024)",Chust-Pérez et al.,2024,Enhancing visual and plastic education training: a blended learning and flipped classroom approach,"https://nusearch.nottingham.ac.uk/discovery/fulldisplay?docid=cdi_proquest_journals_2500885685&context=PC&vid=44NOTTS_UNUK:44NOTUK&lang=en&search_scope=MyInst_and_CI&adaptor=Primo%20Central&tab=Everything&query=any,contains,Noetel%20et%20al.%20(2021)%20%E2%80%93%20%E2%80%9CVideo%20Improves%20Learning%20in%20Higher%20Education:%20A%20Systematic%20Review.%E2%80%9D&offset=2",10,assessment,,,
Starke-2021,Starke et al (2021),"""Effect of gamified perceptual learning on visual detection and discrimination skills in equine gait assessment"" by Starke et al. (2021)",Starke et al.,2021,Effect of gamified perceptual learning on visual detection and discrimination skills in equine gait assessment,"https://nusearch.nottingham.ac.uk/discovery/fulldisplay?docid=cdi_proquest_journals_2500885685&context=PC&vid=44NOTTS_UNUK:44NOTUK&lang=en&search_scope=MyInst_and_CI&adaptor=Primo%20Central&tab=Everything&query=any,contains,Noetel%20et%20al.%20(2021)%20%E2%80%93%20%E2%80%9CVideo%20Improves%20Learning%20in%20Higher%20Education:%20A%20Systematic%20Review.%E2%80%9D&offset=3",25,lecture_capture;self_production,,,
Shek-2023,Shek et al (2023),"""Use of instructional videos in leadership education in higher education under COVID-19: A qualitative study"" by Shek et al. (2023)",Shek et al.,2023,Use of instructional videos in leadership education in higher education under COVID-19: A qualitative study,"https://nusearch.nottingham.ac.uk/discovery/fulldisplay?docid=cdi_proquest_journals_2500885685&context=PC&vid=44NOTTS_UNUK:44NOTUK&lang=en&search_scope=MyInst_and_CI&adaptor=Primo%20Central&tab=Everything&query=any,contains,Noetel%20et%20al.%20(2021)%20%E2%80%93%20%E2%80%9CVideo%20Improves%20Learning%20in%20Higher%20Education:%20A%20Systematic%20Review.%E2%80%9D&offset=4",50,hybrid;assessment;flipped,,,
Mutawa-2023,Mutawa et al (2023),"""The Effectiveness of Using H5P for Undergraduate Students in the Asynchronous Distance Learning Environment"" by Mutawa et al. (2023)",Mutawa et al.,2023,The Effectiveness of Using H5P for Undergraduate Students in the Asynchronous Distance Learning Environment,"https://nusearch.nottingham.ac.uk/discovery/fulldisplay?docid=cdi_proquest_journals_2500885685&context=PC&vid=44NOTTS_UNUK:44NOTUK&lang=en&search_scope=MyInst_and_CI&adaptor=Primo%20Central&tab=Everything&query=any,contains,Noetel%20et%20al.%20(2021)%20%E2%80%93%20%E2%80%9CVideo%20Improves%20Learning%20in%20Higher%20Education:%20A%20Systematic%20Review.%E2%80%9D&offset=5",75,found_video,,,
Seo-2021,Seo et al (2021),"""Active Learning with Online Video: The Impact of Learning Context on Engagement"" by Seo et al. (2021)",Seo et al.,2021,Active Learning with Online Video: The Impact of Learning Context on Engagement,"https://nusearch.nottingham.ac.uk/discovery/fulldisplay?docid=cdi_proquest_journals_2500885685&context=PC&vid=44NOTTS_UNUK:44NOTUK&lang=en&search_scope=MyInst_and_CI&adaptor=Primo%20Central&tab=Everything&query=any,contains,Noetel%20et%20al.%20(2021)%20%E2%80%93%20%E2%80%9CVideo%20Improves%20Learning%20in%20Higher%20Education:%20A%20Systematic%20Review.%E2%80%9D&offset=6",100,distance;lecture_capture,,,
Campbell-2022,Campbell et al (2022),"""Student-created video: an active learning approach in online environments"" by Campbell, Heller & Pulse (2022)","Campbell, Heller & Pulse",2022,Student-created video: an active learning approach in online environments,"https://nusearch.nottingham.ac.uk/discovery/fulldisplay?docid=cdi_proquest_journals_2500885685&context=PC&vid=44NOTTS_UNUK:44NOTUK&lang=en&search_scope=MyInst_and_CI&adaptor=Primo%20Central&tab=Everything&query=any,contains,Noetel%20et%20al.%20(2021)%20%E2%80%93%20%E2%80%9CVideo%20Improves%20Learning%20in%20Higher%20Education:%20A%20Systematic%20Review.%E2%80%9D&offset=7",150,self_production;found_video,,,
Litton-2021,Litton (2021),"""Student-created video: an active learning approach in online environments"" by Litton (2021)",Litton,2021,Student-created video: an active learning approach in online environments,"https://nusearch.nottingham.ac.uk/discovery/fulldisplay?docid=cdi_proquest_journals_2500885685&context=PC&vid=44NOTTS_UNUK:44NOTUK&lang=en&search_scope=MyInst_and_CI&adaptor=Primo%20Central&tab=Everything&query=any,contains,Noetel%20et%20al.%20(2021)%20%E2%80%93%20%E2%80%9CVideo%20Improves%20Learning%20in%20Higher%20Education:%20A%20Systematic%20Review.%E2%80%9D&offset=8",250,hybrid;flipped;found_video,,,
Akapnar-2024,Akçapınar et al (2024),"""Decoding Video Logs: Unveiling Student Engagement"" by Akçapınar et al. (2024)",Akçapınar et al.,2024,Decoding Video Logs: Unveiling Student Engagement,"https://nusearch.nottingham.ac.uk/discovery/fulldisplay?docid=cdi_proquest_journals_2500885685&context=PC&vid=44NOTTS_UNUK:44NOTUK&lang=en&search_scope=MyInst_and_CI&adaptor=Primo%20Central&tab=Everything&query=any,contains,Noetel%20et%20al.%20(2021)%20%E2%80%93%20%E2%80%9CVideo%20Improves%20Learning%20in%20Higher%20Education:%20A%20Systematic%20Review.%E2%80%9D&offset=9",500,lecture_capture,,,
